GpsCycle,GpsWeek,GpsToW[s],TimeStartup[ns],UnCompAccX[m/s^2],UnCompAccY[m/s^2],UnCompAccZ[m/s^2],UnCompGyroX[rad/s],UnCompGyroY[rad/s],UnCompGyroZ[rad/s]
1,18,519409.4,996400000000,1.10751267e-07,-0.0200000594,0.0337873447,3.44715909e-05,6.41028031e-05,-0.02
1,18,519409.5,996500000000,1.10456266e-07,-0.020000059,0.0337872071,3.43429977e-05,6.41716159e-05,-0.02
1,18,519409.6,996600000000,1.10159498e-07,-0.0200000585,0.03378707,3.42142672e-05,6.42401714e-05,-0.02
1,18,519409.7,996700000000,1.09860968e-07,-0.0200000581,0.0337869334,3.40853997e-05,6.43084695e-05,-0.02
1,18,519409.8,996800000000,1.09560679e-07,-0.0200000576,0.0337867973,3.39563959e-05,6.43765096e-05,-0.02
1,18,519409.9,996900000000,1.09258638e-07,-0.0200000572,0.0337866617,3.38272562e-05,6.44442914e-05,-0.02
1,18,519410,997000000000,1.08954848e-07,-0.0200000568,0.0337865267,3.36979812e-05,6.45118149e-05,-0.02
1,18,519410.1,997100000000,1.08649316e-07,-0.0200000563,0.0337863922,3.35685714e-05,6.45790797e-05,-0.02
1,18,519410.2,997200000000,1.08342044e-07,-0.0200000559,0.0337862582,3.34390272e-05,6.46460856e-05,-0.02
1,18,519410.3,997300000000,1.0803304e-07,-0.0200000555,0.0337861247,3.33093493e-05,6.47128323e-05,-0.02
1,18,519410.4,997400000000,1.07722307e-07,-0.020000055,0.0337859917,3.31795382e-05,6.47793197e-05,-0.02
1,18,519410.5,997500000000,1.0740985e-07,-0.0200000546,0.0337858592,3.30495943e-05,6.48455471e-05,-0.02
1,18,519410.6,997600000000,1.07095675e-07,-0.0200000542,0.0337857273,3.29195182e-05,6.49115143e-05,-0.02
1,18,519410.7,997700000000,1.06779786e-07,-0.0200000538,0.0337855959,3.27893104e-05,6.49772217e-05,-0.02
1,18,519410.8,997800000000,1.06462188e-07,-0.0200000533,0.033785465,3.26589714e-05,6.5042668e-05,-0.02
1,18,519410.9,997900000000,1.06142888e-07,-0.0200000529,0.0337853346,3.25285018e-05,6.51078541e-05,-0.02
1,18,519411,998000000000,1.05821889e-07,-0.0200000525,0.0337852048,3.2397902e-05,6.51727789e-05,-0.02
1,18,519411.1,998100000000,1.05499197e-07,-0.0200000521,0.0337850755,3.22671726e-05,6.52374423e-05,-0.02
1,18,519411.2,998200000000,1.05174817e-07,-0.0200000516,0.0337849467,3.21363142e-05,6.53018439e-05,-0.02
1,18,519411.3,998300000000,1.04848754e-07,-0.0200000512,0.0337848184,3.20053271e-05,6.53659839e-05,-0.02
1,18,519411.4,998400000000,1.04521013e-07,-0.0200000508,0.0337846906,3.1874212e-05,6.54298618e-05,-0.02
1,18,519411.5,998500000000,1.041916e-07,-0.0200000504,0.0337845634,3.17429694e-05,6.54934774e-05,-0.02
1,18,519411.6,998600000000,1.03860521e-07,-0.02000005,0.0337844367,3.16115999e-05,6.55568304e-05,-0.02
1,18,519411.7,998700000000,1.03527779e-07,-0.0200000495,0.0337843105,3.14801038e-05,6.56199205e-05,-0.02
1,18,519411.8,998800000000,1.03193381e-07,-0.0200000491,0.0337841849,3.13484818e-05,6.56827475e-05,-0.02
1,18,519411.9,998900000000,1.02857332e-07,-0.0200000487,0.0337840597,3.12167344e-05,6.57453112e-05,-0.02
1,18,519412,999000000000,1.02519637e-07,-0.0200000483,0.0337839351,3.10848621e-05,6.58076109e-05,-0.02
1,18,519412.1,999100000000,1.02180302e-07,-0.0200000479,0.0337838111,3.09528655e-05,6.58696471e-05,-0.02
1,18,519412.2,999200000000,1.01839331e-07,-0.0200000475,0.0337836875,3.0820745e-05,6.59314192e-05,-0.02
1,18,519412.3,999300000000,1.01496732e-07,-0.0200000471,0.0337835645,3.06885012e-05,6.59929269e-05,-0.02
1,18,519412.4,999400000000,1.01152509e-07,-0.0200000467,0.033783442,3.05561346e-05,6.60541698e-05,-0.02
1,18,519412.5,999500000000,1.00806667e-07,-0.0200000463,0.0337833201,3.04236458e-05,6.61151481e-05,-0.02
1,18,519412.6,999600000000,1.00459212e-07,-0.0200000459,0.0337831987,3.02910353e-05,6.61758613e-05,-0.02
1,18,519412.7,999700000000,1.0011015e-07,-0.0200000455,0.0337830778,3.01583036e-05,6.62363088e-05,-0.02
1,18,519412.8,999800000000,9.97594858e-08,-0.0200000451,0.0337829574,3.00254513e-05,6.62964911e-05,-0.02
1,18,519412.9,999900000000,9.94072257e-08,-0.0200000447,0.0337828376,2.98924788e-05,6.63564073e-05,-0.02
1,18,519413,1000000000000,9.90533752e-08,-0.0200000443,0.0337827183,2.97593867e-05,6.64160577e-05,-0.02
1,18,519413.1,1000100000000,9.86979398e-08,-0.0200000439,0.0337825995,2.96261756e-05,6.64754419e-05,-0.02
1,18,519413.2,1000200000000,9.83409252e-08,-0.0200000435,0.0337824813,2.9492846e-05,6.65345592e-05,-0.02
1,18,519413.3,1000300000000,9.79823371e-08,-0.0200000431,0.0337823636,2.93593983e-05,6.659341e-05,-0.02
1,18,519413.4,1000400000000,9.76221814e-08,-0.0200000427,0.0337822464,2.92258333e-05,6.66519936e-05,-0.02
1,18,519413.5,1000500000000,9.72604637e-08,-0.0200000423,0.0337821298,2.90921513e-05,6.67103102e-05,-0.02
1,18,519413.6,1000600000000,9.68971898e-08,-0.0200000419,0.0337820137,2.89583529e-05,6.6768359e-05,-0.02
1,18,519413.7,1000700000000,9.65323656e-08,-0.0200000415,0.0337818981,2.88244386e-05,6.68261402e-05,-0.02
1,18,519413.8,1000800000000,9.61659969e-08,-0.0200000412,0.0337817831,2.86904091e-05,6.68836537e-05,-0.02
1,18,519413.9,1000900000000,9.57980895e-08,-0.0200000408,0.0337816686,2.85562647e-05,6.69408987e-05,-0.02
1,18,519414,1001000000000,9.54286493e-08,-0.0200000404,0.0337815546,2.84220061e-05,6.69978757e-05,-0.02
1,18,519414.1,1001100000000,9.50576823e-08,-0.02000004,0.0337814412,2.82876338e-05,6.70545837e-05,-0.02
1,18,519414.2,1001200000000,9.46851944e-08,-0.0200000396,0.0337813284,2.81531484e-05,6.71110232e-05,-0.02
1,18,519414.3,1001300000000,9.43111915e-08,-0.0200000392,0.033781216,2.80185503e-05,6.71671933e-05,-0.02
1,18,519414.4,1001400000000,9.39356796e-08,-0.0200000389,0.0337811042,2.78838401e-05,6.72230941e-05,-0.02
1,18,519414.5,1001500000000,9.35586648e-08,-0.0200000385,0.033780993,2.77490184e-05,6.72787255e-05,-0.02
1,18,519414.6,1001600000000,9.3180153e-08,-0.0200000381,0.0337808822,2.76140856e-05,6.73340873e-05,-0.02
1,18,519414.7,1001700000000,9.28001503e-08,-0.0200000378,0.033780772,2.74790424e-05,6.73891789e-05,-0.02
1,18,519414.8,1001800000000,9.24186629e-08,-0.0200000374,0.0337806624,2.73438892e-05,6.74440003e-05,-0.02
1,18,519414.9,1001900000000,9.20356967e-08,-0.020000037,0.0337805533,2.72086267e-05,6.74985513e-05,-0.02
1,18,519415,1002000000000,9.1651258e-08,-0.0200000366,0.0337804447,2.70732553e-05,6.75528317e-05,-0.02
1,18,519415.1,1002100000000,9.12653528e-08,-0.0200000363,0.0337803367,2.69377756e-05,6.76068416e-05,-0.02
1,18,519415.2,1002200000000,9.08779875e-08,-0.0200000359,0.0337802293,2.68021881e-05,6.76605801e-05,-0.02
1,18,519415.3,1002300000000,9.0489168e-08,-0.0200000356,0.0337801223,2.66664934e-05,6.77140473e-05,-0.02
1,18,519415.4,1002400000000,9.00989008e-08,-0.0200000352,0.0337800159,2.6530692e-05,6.7767243e-05,-0.02
1,18,519415.5,1002500000000,8.97071919e-08,-0.0200000348,0.0337799101,2.63947845e-05,6.78201671e-05,-0.02
1,18,519415.6,1002600000000,8.93140478e-08,-0.0200000345,0.0337798048,2.62587713e-05,6.78728192e-05,-0.02
1,18,519415.7,1002700000000,8.89194746e-08,-0.0200000341,0.0337797,2.61226532e-05,6.79251992e-05,-0.02
1,18,519415.8,1002800000000,8.85234787e-08,-0.0200000338,0.0337795958,2.59864305e-05,6.79773069e-05,-0.02
1,18,519415.9,1002900000000,8.81260665e-08,-0.0200000334,0.0337794921,2.58501038e-05,6.80291421e-05,-0.02
1,18,519416,1003000000000,8.77272442e-08,-0.0200000331,0.033779389,2.57136738e-05,6.80807045e-05,-0.02
1,18,519416.1,1003100000000,8.73270183e-08,-0.0200000327,0.0337792864,2.55771408e-05,6.8131994e-05,-0.02
1,18,519416.2,1003200000000,8.69253951e-08,-0.0200000324,0.0337791844,2.54405056e-05,6.81830103e-05,-0.02
1,18,519416.3,1003300000000,8.65223812e-08,-0.020000032,0.0337790829,2.53037685e-05,6.82337532e-05,-0.02
1,18,519416.4,1003400000000,8.61179829e-08,-0.0200000317,0.033778982,2.51669302e-05,6.82842226e-05,-0.02
1,18,519416.5,1003500000000,8.57122067e-08,-0.0200000313,0.0337788816,2.50299913e-05,6.83344179e-05,-0.02
1,18,519416.6,1003600000000,8.53050591e-08,-0.020000031,0.0337787818,2.48929522e-05,6.83843396e-05,-0.02
1,18,519416.7,1003700000000,8.48965467e-08,-0.0200000306,0.0337786825,2.47558135e-05,6.84339871e-05,-0.02
1,18,519416.8,1003800000000,8.44866759e-08,-0.0200000303,0.0337785837,2.46185758e-05,6.84833602e-05,-0.02
1,18,519416.9,1003900000000,8.40754533e-08,-0.02000003,0.0337784855,2.44812396e-05,6.85324585e-05,-0.02
1,18,519417,1004000000000,8.36628855e-08,-0.0200000296,0.0337783879,2.43438054e-05,6.85812823e-05,-0.02
1,18,519417.1,1004100000000,8.32489791e-08,-0.0200000293,0.0337782908,2.42062739e-05,6.86298311e-05,-0.02
1,18,519417.2,1004200000000,8.28337407e-08,-0.020000029,0.0337781942,2.40686455e-05,6.86781048e-05,-0.02
1,18,519417.3,1004300000000,8.2417177e-08,-0.0200000286,0.0337780982,2.39309208e-05,6.87261029e-05,-0.02
1,18,519417.4,1004400000000,8.19992946e-08,-0.0200000283,0.0337780028,2.37931004e-05,6.87738258e-05,-0.02
1,18,519417.5,1004500000000,8.15801003e-08,-0.020000028,0.0337779079,2.36551848e-05,6.88212729e-05,-0.02
1,18,519417.6,1004600000000,8.11596006e-08,-0.0200000277,0.0337778136,2.35171746e-05,6.88684438e-05,-0.02
1,18,519417.7,1004700000000,8.07378024e-08,-0.0200000273,0.0337777198,2.33790703e-05,6.89153389e-05,-0.02
1,18,519417.8,1004800000000,8.03147124e-08,-0.020000027,0.0337776265,2.32408724e-05,6.89619574e-05,-0.02
1,18,519417.9,1004900000000,7.98903373e-08,-0.0200000267,0.0337775339,2.31025816e-05,6.90082997e-05,-0.02
1,18,519418,1005000000000,7.94646841e-08,-0.0200000264,0.0337774417,2.29641983e-05,6.90543651e-05,-0.02
1,18,519418.1,1005100000000,7.90377593e-08,-0.020000026,0.0337773501,2.28257232e-05,6.9100154e-05,-0.02
1,18,519418.2,1005200000000,7.860957e-08,-0.0200000257,0.0337772591,2.26871568e-05,6.91456655e-05,-0.02
1,18,519418.3,1005300000000,7.81801229e-08,-0.0200000254,0.0337771687,2.25484996e-05,6.91908998e-05,-0.02
1,18,519418.4,1005400000000,7.7749425e-08,-0.0200000251,0.0337770787,2.24097521e-05,6.9235857e-05,-0.02
1,18,519418.5,1005500000000,7.73174831e-08,-0.0200000248,0.0337769894,2.22709151e-05,6.92805363e-05,-0.02
1,18,519418.6,1005600000000,7.6884304e-08,-0.0200000245,0.0337769006,2.21319889e-05,6.93249382e-05,-0.02
1,18,519418.7,1005700000000,7.64498949e-08,-0.0200000242,0.0337768123,2.19929742e-05,6.93690619e-05,-0.02
1,18,519418.8,1005800000000,7.60142625e-08,-0.0200000239,0.0337767246,2.18538715e-05,6.94129074e-05,-0.02
1,18,519418.9,1005900000000,7.55774139e-08,-0.0200000236,0.0337766375,2.17146814e-05,6.94564747e-05,-0.02
1,18,519419,1006000000000,7.51393561e-08,-0.0200000233,0.0337765509,2.15754044e-05,6.94997639e-05,-0.02
1,18,519419.1,1006100000000,7.4700096e-08,-0.020000023,0.0337764649,2.14360411e-05,6.95427741e-05,-0.02
1,18,519419.2,1006200000000,7.42596408e-08,-0.0200000227,0.0337763795,2.1296592e-05,6.95855055e-05,-0.02
